Gene Symbol	Output	NSG	WT	IO
1500002F19Rik	-0.14862382989278228	0.25112231748042013	0.028073819530928745	0.4425652161473427
A1cf	-0.20728944325913598	0.1402773608354193	-0.001362483683441958	0.1897721659674816
A730035I17Rik	0.20103859840851554	0.052151240868322464	-0.15143668049481676	-0.1858701938523287
Abraxas1	-0.2549651199033692	0.3533161532539735	-0.23050846864310967	-0.23237916313678944
Abraxas2	0.223120927102093	0.12027992487204348	-0.097517771137636	0.023378615243247178
Actl6a	-0.36266788699914093	-0.08504658117117077	0.09501940036641243	0.8184197100332607
Actl6b	-0.02911545080342613	0.20027280678600703	-0.06109920132375166	-0.15305333911815755
Actr3b	0.1252257688808212	0.03456947552702009	0.19936190493150163	0.07997809757802947
Actr5	-0.6484782059153652	0.3376677984355039	-0.2173147625426257	-0.22227561135742935
Actr6	-0.05290055489553295	-1.0175233802335921	0.8023994829551645	1.126552040381173
Actr8	-0.5762075904683307	-0.3754435786853006	0.27555321066208416	-0.027634716917536828
Adar	-0.4595747201623765	-0.6698947697331828	-1.2829771586501935	-1.1978394052400259
Adnp	-0.8465603321501773	-0.039499857570013175	-0.7763477594085005	-1.3205774065630898
Aebp2	0.19327508318686282	-0.4130700450017846	-0.08534720833367167	-0.2932292274580333
Aicda	-0.03227091008011215	0.0937013652501291	0.1727471346523796	0.11971251992814817
Aire	-0.02793973520686473	-0.13416070750609063	0.3496616364016462	0.297638310066375
Alkbh1	-0.23940356819273614	-0.14123013176564422	0.014836878587002148	0.1570040789673606
Anp32a	0.07904137774438075	-0.26296457971190523	0.17143639887204967	0.26087849202228414
Anp32b	0.139102736788235	-0.21716746221654212	0.554807750692616	1.048433307023676
Anp32e	0.029858023963886048	-0.25286862994783027	0.21588971010478727	0.14073068134187822
Apbb1	-0.11410020829572504	0.0065666814374174265	0.03594531837900163	0.029398720120054272
Apex1	-1.6548889204352655	-0.4044655089261056	0.3397918647656019	0.001487639744964871
Apobec1	0.16152119306703747	-0.15766636576505716	-0.08319233869239939	-0.3598363714974743
Apobec2	0.14902339352188074	-0.1975233449841213	0.00227532780211942	0.1936052579023503
Apobec3	-0.1800739647180142	0.34670408319777923	-0.14290504923570976	-0.06611285194273586
Arid1a	-0.158080332895387	-0.8213318266867865	0.3732580463091697	0.3867971167631148
Arid1b	0.15724214659026212	-0.04176440604436462	0.18414547835660225	0.1691615262331536
Arid2	-0.07898110144039816	0.4318910225962333	-0.17755499343798775	0.5703292059545816
Arid3a	-0.07609827810605335	0.024790300668544738	0.01511032630177677	0.010390046458615942
Arid3b	0.056500078940663896	-0.07335793393865568	-0.00824211419470768	0.13145916509688804
Arid3c	-0.002550656424672282	0.06946437136947432	0.2032333471616817	0.20400574119395073
